AVAPS-T01 STA 132855101 140630 171042.59
AVAPS-T01 COM            UTC     UTC      Wind   Vert      GPS        GPS     Geopoten GPS Wind    GPS   
AVAPS-T01 COM   Sonde    Date    Time     Spd    Veloc  Longitude   Latitude  Altitude Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat (m/s)    (m)  
AVAPS-T01 COM --------- ------ --------- ------ ------ ----------- ---------- -------- --- ----- --------
AVAPS-D01 S10 132855101 140630 173021.00  12.69 -17.21  999.000000  99.000000 99999.00  10  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173021.25  12.49 -17.23  -80.123710  28.575146  3100.48  11  0.71  3100.27
AVAPS-D01 S10 132855101 140630 173021.50  12.83 -17.21  999.000000  99.000000 99999.00  11  0.73 99999.00
AVAPS-D01 S00 132855101 140630 173021.75  12.70 -17.13  -80.123755  28.575101  3094.67  11  0.69  3091.44
AVAPS-D01 S10 132855101 140630 173022.00  12.35 -17.17  999.000000  99.000000 99999.00  11  0.67 99999.00
AVAPS-D01 S00 132855101 140630 173022.25  12.19 -17.17  -80.123798  28.575058  3082.76  11  0.68  3082.83
AVAPS-D01 S10 132855101 140630 173022.50  12.26 -17.05  999.000000  99.000000 99999.00  12  0.69 99999.00
AVAPS-D01 S00 132855101 140630 173022.75  11.70 -16.88  -80.123850  28.575017  3089.68  12  0.65  3074.82
AVAPS-D01 S11 132855101 140630 173023.00  11.25 -16.87  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173023.25   9.71 -16.79  -80.123893  28.574979  3065.02  12  0.67  3066.80
AVAPS-D01 S10 132855101 140630 173023.50  10.51 -16.68  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S00 132855101 140630 173023.75  10.74 -16.61  -80.123934  28.574942  3058.14  12  0.66  3058.68
AVAPS-D01 S10 132855101 140630 173024.00  11.28 -16.66  999.000000  99.000000 99999.00  12  0.67 99999.00
AVAPS-D01 S00 132855101 140630 173024.25  12.33 -16.63  -80.123980  28.574903  3051.54  12  0.66  3050.33
AVAPS-D01 S10 132855101 140630 173024.50  13.20 -16.59  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173024.75  13.22 -16.42  -80.124030  28.574860  3035.84  12  0.64  3041.94
AVAPS-D01 S10 132855101 140630 173025.00  13.56 -16.48  999.000000  99.000000 99999.00  11  0.59 99999.00
AVAPS-D01 S01 132855101 140630 173025.25 999.00  99.00  -80.124075  74.947383  3033.20   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173025.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173025.75  14.15 -17.36  -80.124116  28.574756  3023.92  12  0.62  3023.97
AVAPS-D01 S10 132855101 140630 173026.00  14.09 -17.39  999.000000  99.000000 99999.00  11  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173026.25  13.51 -17.35  -80.124152  28.574700  3015.04  12  0.62  3015.35
AVAPS-D01 S10 132855101 140630 173026.50  13.28 -17.15  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173026.75  12.87 -17.01  -80.124184  28.574646  3005.46  11  0.61  3007.05
AVAPS-D01 S10 132855101 140630 173027.00  12.35 -16.91  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173027.25  11.99 -16.77  -80.124216  28.574595  2998.12  12  0.62  2998.95
AVAPS-D01 S10 132855101 140630 173027.50  11.51 -16.83  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173027.75  11.34 -16.76  -80.124248  28.574549  2986.98  12  0.63  2990.69
AVAPS-D01 S10 132855101 140630 173028.00  11.81 -16.65  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173028.25  11.20 -16.72  -80.124284  28.574504  2982.30  12  0.58  2982.53
AVAPS-D01 S10 132855101 140630 173028.50  10.62 -17.25  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173028.75  11.84 -17.14  -80.124314  28.574461  2973.10  12  0.59  2973.51
AVAPS-D01 S10 132855101 140630 173029.00  11.73 -16.94  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173029.25  12.89 -16.93  -80.124343  28.574411  2964.60  12  0.54  2964.95
AVAPS-D01 S10 132855101 140630 173029.50  14.37 -17.16  999.000000  99.000000 99999.00  12  0.52 99999.00
AVAPS-D01 S00 132855101 140630 173029.75  14.01 -17.10  -80.124381  28.574356  2937.30  12  0.59  2956.34
AVAPS-D01 S10 132855101 140630 173030.00  14.13 -17.02  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173030.25  13.74 -16.89  -80.124425  28.574306  2934.55  12  0.62  2947.97
AVAPS-D01 S10 132855101 140630 173030.50  12.86 -16.88  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173030.75  11.95 -16.93  -80.124468  28.574262  2931.08  12  0.63  2939.64
AVAPS-D01 S10 132855101 140630 173031.00  11.77 -16.96  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S01 132855101 140630 173031.25 999.00  99.00  -80.124507  28.574220  2924.54  12  0.62  2931.24
AVAPS-D01 S10 132855101 140630 173031.50  12.66 -16.84  999.000000  99.000000 99999.00  12  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173031.75  12.80 -16.82  -80.124546  28.574175  2906.07  12  0.63  2922.77
AVAPS-D01 S10 132855101 140630 173032.00  13.01 -16.78  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173032.25  13.16 -16.67  -80.124590  28.574130  2930.37  12  0.61  2914.43
AVAPS-D01 S10 132855101 140630 173032.50  13.03 -16.70  999.000000  99.000000 99999.00  12  0.67 99999.00
AVAPS-D01 S00 132855101 140630 173032.75  12.59 -16.67  -80.124636  28.574087  2907.92  12  0.55  2906.19
AVAPS-D01 S10 132855101 140630 173033.00  12.02 -16.78  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S01 132855101 140630 173033.25  11.87 -16.67  -80.124678  28.574046  2911.13   0  0.62  2897.93
AVAPS-D01 S11 132855101 140630 173033.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173033.75  13.79 -16.66  -80.124716  28.573999  2891.46  12  0.59  2889.50
AVAPS-D01 S10 132855101 140630 173034.00  13.49 -16.70  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173034.25  13.70 -16.39  -80.124753  28.573947  2882.12  12  0.57  2881.34
AVAPS-D01 S10 132855101 140630 173034.50  14.14 -16.62  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173034.75  13.57 -17.25  -80.124792  28.573895  2874.71  12  0.55  2872.29
AVAPS-D01 S10 132855101 140630 173035.00  13.31 -17.25  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173035.25  13.53 -17.16  -80.124834  28.573846  2864.02  12  0.68  2863.84
AVAPS-D01 S10 132855101 140630 173035.50  13.10 -17.17  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173035.75  12.52 -17.41  -80.124873  28.573798  2855.62  12  0.61  2855.08
AVAPS-D01 S10 132855101 140630 173036.00  12.28 -17.45  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S01 132855101 140630 173036.25  12.27 -17.14  -80.124905  28.573741  2854.05  12  0.58  2846.01
AVAPS-D01 S10 132855101 140630 173036.50  13.43 -17.45  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173036.75  14.49 -17.60  -80.124940  28.573698  2834.23  12  0.57  2837.54
AVAPS-D01 S10 132855101 140630 173037.00  14.51 -17.52  999.000000  99.000000 99999.00  12  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173037.25  14.42 -17.40  -80.124978  28.573641  2830.09  12  0.59  2828.98
AVAPS-D01 S10 132855101 140630 173037.50  13.50 -17.78  999.000000  99.000000 99999.00  12  0.55 99999.00
AVAPS-D01 S00 132855101 140630 173037.75  12.24 -17.80  -80.125013  28.573589  2819.21  12  0.55  2819.83
AVAPS-D01 S10 132855101 140630 173038.00  12.31 -17.71  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S01 132855101 140630 173038.25  12.22 -17.59  -80.125047  28.573542  2810.22  12  0.66  2811.19
AVAPS-D01 S10 132855101 140630 173038.50  11.87 -17.50  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173038.75  10.93 -17.34  -80.125082  28.573498  2801.07  12  0.61  2802.77
AVAPS-D01 S10 132855101 140630 173039.00  11.03 -17.15  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S11 132855101 140630 173039.25 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173039.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173039.75  12.90 -16.97  -80.125138  28.573407  2784.02  12  0.60  2786.22
AVAPS-D01 S10 132855101 140630 173040.00  13.27 -16.82  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173040.25  14.04 -16.72  -80.125167  28.573352  2776.29  12  0.63  2777.92
AVAPS-D01 S10 132855101 140630 173040.50  13.87 -16.66  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173040.75  13.35 -16.56  -80.125200  28.573297  2768.85  12  0.68  2769.73
AVAPS-D01 S10 132855101 140630 173041.00  13.18 -16.42  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S00 132855101 140630 173041.25  12.99 -16.35  -80.125233  28.573245  2760.92  12  0.67  2761.67
AVAPS-D01 S10 132855101 140630 173041.50  12.38 -16.25  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173041.75  11.83 -16.30  -80.125265  28.573197  2751.65  12  0.62  2753.72
AVAPS-D01 S10 132855101 140630 173042.00  11.45 -16.42  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173042.25  11.38 -16.37  -80.125294  28.573151  2751.88  12  0.62  2745.62
AVAPS-D01 S10 132855101 140630 173042.50  11.41 -16.32  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173042.75  11.37 -16.44  -80.125319  28.573104  2741.77  12  0.63  2737.60
AVAPS-D01 S10 132855101 140630 173043.00  11.26 -16.41  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173043.25  11.97 -16.21  -80.125337  28.573054  2737.64  12  0.63  2729.50
AVAPS-D01 S10 132855101 140630 173043.50  11.22 -16.26  999.000000  99.000000 99999.00  11  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173043.75  10.31 -16.33  -80.125357  28.573007  2719.82  12  0.59  2721.26
AVAPS-D01 S11 132855101 140630 173044.00 999.00  99.00  999.000000  99.000000 99999.00   4  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173044.25  10.19 -16.31  -80.125373  28.572963  2711.99  12  0.60  2713.27
AVAPS-D01 S10 132855101 140630 173044.50  10.90 -16.17  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S01 132855101 140630 173044.75  70.71  99.00  -80.125390  28.572916  2704.33  12  0.56  2705.38
AVAPS-D01 S10 132855101 140630 173045.00  12.32 -16.23  999.000000  99.000000 99999.00  12  0.53 99999.00
AVAPS-D01 S00 132855101 140630 173045.25  12.80 -16.14  -80.125408  28.572864  2697.69  12  0.52  2697.34
AVAPS-D01 S10 132855101 140630 173045.50  13.30 -16.12  999.000000  99.000000 99999.00  12  0.50 99999.00
AVAPS-D01 S00 132855101 140630 173045.75  13.91 -16.13  -80.125425  28.572806  2688.81  12  0.50  2689.25
AVAPS-D01 S10 132855101 140630 173046.00  13.89 -16.08  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173046.25  13.68 -15.99  -80.125442  28.572746  2679.47  12  0.55  2681.38
AVAPS-D01 S10 132855101 140630 173046.50  13.21 -16.21  999.000000  99.000000 99999.00  12  0.51 99999.00
AVAPS-D01 S00 132855101 140630 173046.75  13.63 -16.44  -80.125457  28.572688  2672.92  12  0.55  2673.10
AVAPS-D01 S10 132855101 140630 173047.00  13.69 -16.48  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173047.25  14.23 -16.23  -80.125469  28.572626  2644.97  12  0.62  2664.97
AVAPS-D01 S10 132855101 140630 173047.50  13.96 -16.58  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S01 132855101 140630 173047.75  12.96 -16.66  -80.125489  28.572567  2651.08   0  0.63  2656.51
AVAPS-D01 S11 132855101 140630 173048.00  45.91 -22.79  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173048.25  12.41 -16.72  -80.125511  28.572512  2644.91  12  0.56  2648.09
AVAPS-D01 S10 132855101 140630 173048.50  14.09 -16.67  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S01 132855101 140630 173048.75  14.27 -16.67  -80.125550  28.572410  2637.84  12  0.64  2648.55
AVAPS-D01 S10 132855101 140630 173049.00  14.37 -16.62  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S01 132855101 140630 173049.25 999.00  99.00  -80.125557  28.572392  2629.32  12  0.60  2631.29
AVAPS-D01 S11 132855101 140630 173049.50  14.68 -16.56  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173049.75  14.62 -16.45  -80.125586  28.572331  2623.15  12  0.58  2623.10
AVAPS-D01 S10 132855101 140630 173050.00  15.14 -16.49  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173050.25  15.33 -16.43  -80.125621  28.572270  2613.81  12  0.64  2614.85
AVAPS-D01 S10 132855101 140630 173050.50  15.32 -16.40  999.000000  99.000000 99999.00  12  0.62 99999.00
